,Hate_Harass_Violence,Malware_Viruses,Adult_Content,Tailored_Financial_Advice,harmless,Privacy_Violation_Activity,Economic_Harm,Fraud_Deception,Child_Abuse,Political_Campaigning,Physical_Harm,Illegal_Activity
Hate_Harass_Violence,1.0001263618469238,0.9813703298568726,0.12856821715831757,0.10996510833501816,0.14095477759838104,0.9635770320892334,0.12630920112133026,0.11515823751688004,0.1304265707731247,0.8170159459114075,0.9625455141067505,0.12717348337173462
Malware_Viruses,0.9813703298568726,1.0000767707824707,0.20447885990142822,0.20457759499549866,0.224576935172081,0.9832063913345337,0.22523431479930878,0.22244936227798462,0.21518869698047638,0.857862651348114,0.9722285866737366,0.23322506248950958
Adult_Content,0.12856821715831757,0.20447885990142822,1.0000011920928955,0.8080300092697144,0.7323336005210876,0.2901380658149719,0.8386238217353821,0.8213590979576111,0.8654803037643433,0.5495395064353943,0.31868791580200195,0.8450275659561157
Tailored_Financial_Advice,0.10996510833501816,0.20457759499549866,0.8080300092697144,1.0000035762786865,0.8001260161399841,0.2863673269748688,0.9163720607757568,0.8887108564376831,0.8366739749908447,0.5738912224769592,0.3062282204627991,0.8868920207023621
harmless,0.14095477759838104,0.224576935172081,0.7323336005210876,0.8001260161399841,1.0000053644180298,0.29280149936676025,0.7909551858901978,0.7628923058509827,0.7591391205787659,0.5415298342704773,0.308445006608963,0.7779197692871094
Privacy_Violation_Activity,0.9635770320892334,0.9832063913345337,0.2901380658149719,0.2863673269748688,0.29280149936676025,1.0000567436218262,0.30250099301338196,0.30470025539398193,0.29768967628479004,0.8930185437202454,0.9742649793624878,0.3171204924583435
Economic_Harm,0.12630920112133026,0.22523431479930878,0.8386238217353821,0.9163720607757568,0.7909551858901978,0.30250099301338196,1.0000029802322388,0.9354040026664734,0.8515635132789612,0.5895565152168274,0.32661423087120056,0.9093101620674133
Fraud_Deception,0.11515823751688004,0.22244936227798462,0.8213590979576111,0.8887108564376831,0.7628923058509827,0.30470025539398193,0.9354040026664734,1.0000039339065552,0.8434589505195618,0.5848268866539001,0.3100076913833618,0.9150303602218628
Child_Abuse,0.1304265707731247,0.21518869698047638,0.8654803037643433,0.8366739749908447,0.7591391205787659,0.29768967628479004,0.8515635132789612,0.8434589505195618,1.0000026226043701,0.5668841600418091,0.32085591554641724,0.8791918158531189
Political_Campaigning,0.8170159459114075,0.857862651348114,0.5495395064353943,0.5738912224769592,0.5415298342704773,0.8930185437202454,0.5895565152168274,0.5848268866539001,0.5668841600418091,1.0000170469284058,0.8983274102210999,0.5926163792610168
Physical_Harm,0.9625455141067505,0.9722285866737366,0.31868791580200195,0.3062282204627991,0.308445006608963,0.9742649793624878,0.32661423087120056,0.3100076913833618,0.32085591554641724,0.8983274102210999,1.0000554323196411,0.3361876904964447
Illegal_Activity,0.12717348337173462,0.23322506248950958,0.8450275659561157,0.8868920207023621,0.7779197692871094,0.3171204924583435,0.9093101620674133,0.9150303602218628,0.8791918158531189,0.5926163792610168,0.3361876904964447,1.000004529953003
