,Child_Abuse,Political_Campaigning,Privacy_Violation_Activity,Illegal_Activity,Economic_Harm,Adult_Content,Physical_Harm,Fraud_Deception,Tailored_Financial_Advice,harmless,Hate_Harass_Violence,Malware_Viruses
Child_Abuse,1.0000438690185547,0.9997290968894958,0.9997260570526123,0.9994529485702515,0.9996639490127563,0.9995602369308472,0.9992700815200806,0.9996518492698669,0.9996744394302368,0.9996751546859741,0.9965861439704895,0.999570369720459
Political_Campaigning,0.9997290968894958,1.0000450611114502,1.0000361204147339,0.9996325969696045,0.9997092485427856,0.9999308586120605,0.9980810880661011,0.9999220371246338,0.9998995065689087,0.9999465942382812,0.9944313764572144,0.9999409914016724
Privacy_Violation_Activity,0.9997260570526123,1.0000361204147339,1.000044822692871,0.9996325969696045,0.9997228384017944,0.999909520149231,0.99805748462677,0.9999396800994873,0.9998958110809326,0.9999427795410156,0.9943567514419556,0.9999229907989502
Illegal_Activity,0.9994529485702515,0.9996325969696045,0.9996325969696045,1.0000416040420532,0.9999240040779114,0.9992576241493225,0.9983218312263489,0.9997601509094238,0.9999514818191528,0.9998228549957275,0.9943667650222778,0.9992868304252625
Economic_Harm,0.9996639490127563,0.9997092485427856,0.9997228384017944,0.9999240040779114,1.0000426769256592,0.9992848634719849,0.9985640048980713,0.9998806715011597,0.9999492168426514,0.9998044371604919,0.9946852922439575,0.9993109703063965
Adult_Content,0.9995602369308472,0.9999308586120605,0.999909520149231,0.9992576241493225,0.9992848634719849,1.000048279762268,0.9977847933769226,0.9995964765548706,0.9996266961097717,0.9997909665107727,0.9945146441459656,1.0000393390655518
Physical_Harm,0.9992700815200806,0.9980810880661011,0.99805748462677,0.9983218312263489,0.9985640048980713,0.9977847933769226,1.0000429153442383,0.9981006383895874,0.9983266592025757,0.9982266426086426,0.998680055141449,0.997812032699585
Fraud_Deception,0.9996518492698669,0.9999220371246338,0.9999396800994873,0.9997601509094238,0.9998806715011597,0.9995964765548706,0.9981006383895874,1.0000438690185547,0.9999228119850159,0.9998654127120972,0.9940305948257446,0.9996219873428345
Tailored_Financial_Advice,0.9996744394302368,0.9998995065689087,0.9998958110809326,0.9999514818191528,0.9999492168426514,0.9996266961097717,0.9983266592025757,0.9999228119850159,1.0000418424606323,0.9999694228172302,0.9944983720779419,0.9996470808982849
harmless,0.9996751546859741,0.9999465942382812,0.9999427795410156,0.9998228549957275,0.9998044371604919,0.9997909665107727,0.9982266426086426,0.9998654127120972,0.9999694228172302,1.0000447034835815,0.994543731212616,0.9998107552528381
Hate_Harass_Violence,0.9965861439704895,0.9944313764572144,0.9943567514419556,0.9943667650222778,0.9946852922439575,0.9945146441459656,0.998680055141449,0.9940305948257446,0.9944983720779419,0.994543731212616,1.0000450611114502,0.9945202469825745
Malware_Viruses,0.999570369720459,0.9999409914016724,0.9999229907989502,0.9992868304252625,0.9993109703063965,1.0000393390655518,0.997812032699585,0.9996219873428345,0.9996470808982849,0.9998107552528381,0.9945202469825745,1.0000487565994263
