,Political_Campaigning,Malware_Viruses,Child_Abuse,Illegal_Activity,Tailored_Financial_Advice,Adult_Content,harmless,Fraud_Deception,Privacy_Violation_Activity,Economic_Harm,Physical_Harm,Hate_Harass_Violence
Political_Campaigning,0.9999994039535522,0.8737130165100098,0.8676213026046753,0.9067521095275879,0.8839240074157715,0.8408169746398926,0.13067369163036346,0.901586651802063,0.8907725811004639,0.8994734883308411,0.8982806205749512,0.8940097093582153
Malware_Viruses,0.8737130165100098,1.0,0.8470590114593506,0.9187074899673462,0.8582770824432373,0.8131829500198364,0.1304650604724884,0.9083764553070068,0.9280030131340027,0.8946258425712585,0.8806138634681702,0.8259032964706421
Child_Abuse,0.8676213026046753,0.8470590114593506,1.0000003576278687,0.907193660736084,0.857795238494873,0.8876129388809204,0.1269451081752777,0.8754029870033264,0.8676566481590271,0.8754764199256897,0.8885706663131714,0.8658689260482788
Illegal_Activity,0.9067521095275879,0.9187074899673462,0.907193660736084,1.0000004768371582,0.9058808088302612,0.8724418878555298,0.12829670310020447,0.942705512046814,0.9217909574508667,0.9366313815116882,0.9245539307594299,0.8750972747802734
Tailored_Financial_Advice,0.8839240074157715,0.8582770824432373,0.857795238494873,0.9058808088302612,1.0000007152557373,0.8230985403060913,0.12937121093273163,0.909475564956665,0.869577169418335,0.9321893453598022,0.878662645816803,0.838767409324646
Adult_Content,0.8408169746398926,0.8131829500198364,0.8876129388809204,0.8724418878555298,0.8230985403060913,0.9999998211860657,0.11884455382823944,0.8500489592552185,0.8551108837127686,0.8580560684204102,0.8744876384735107,0.8660718202590942
harmless,0.13067369163036346,0.1304650604724884,0.1269451081752777,0.12829670310020447,0.12937121093273163,0.11884455382823944,1.0000379085540771,0.1253637969493866,0.13510209321975708,0.12615148723125458,0.12465327978134155,0.12886282801628113
Fraud_Deception,0.901586651802063,0.9083764553070068,0.8754029870033264,0.942705512046814,0.909475564956665,0.8500489592552185,0.1253637969493866,1.0000008344650269,0.9149518609046936,0.9553589820861816,0.890920102596283,0.8562347292900085
Privacy_Violation_Activity,0.8907725811004639,0.9280030131340027,0.8676566481590271,0.9217909574508667,0.869577169418335,0.8551108837127686,0.13510209321975708,0.9149518609046936,1.0000005960464478,0.8924244046211243,0.8793800473213196,0.8437645435333252
Economic_Harm,0.8994734883308411,0.8946258425712585,0.8754764199256897,0.9366313815116882,0.9321893453598022,0.8580560684204102,0.12615148723125458,0.9553589820861816,0.8924244046211243,1.0000001192092896,0.9060471057891846,0.8641021847724915
Physical_Harm,0.8982806205749512,0.8806138634681702,0.8885706663131714,0.9245539307594299,0.878662645816803,0.8744876384735107,0.12465327978134155,0.890920102596283,0.8793800473213196,0.9060471057891846,1.0000003576278687,0.8992018103599548
Hate_Harass_Violence,0.8940097093582153,0.8259032964706421,0.8658689260482788,0.8750972747802734,0.838767409324646,0.8660718202590942,0.12886282801628113,0.8562347292900085,0.8437645435333252,0.8641021847724915,0.8992018103599548,1.0000003576278687
