,Tailored_Financial_Advice,Privacy_Violation_Activity,Economic_Harm,Child_Abuse,Illegal_Activity,Physical_Harm,Adult_Content,Political_Campaigning,Malware_Viruses,Fraud_Deception,harmless,Hate_Harass_Violence
Tailored_Financial_Advice,0.999999463558197,0.9048494100570679,0.9493261575698853,0.8878543376922607,0.9254854321479797,0.9152905941009521,0.8797273635864258,0.914969801902771,0.8778671026229858,0.9348798990249634,0.058208998292684555,0.8677082061767578
Privacy_Violation_Activity,0.9048494100570679,1.000000238418579,0.9228704571723938,0.8775875568389893,0.9379054307937622,0.9082587361335754,0.8858986496925354,0.9250497817993164,0.9508215188980103,0.9342150092124939,0.05887913703918457,0.868896484375
Economic_Harm,0.9493261575698853,0.9228704571723938,1.000000238418579,0.8997679948806763,0.9523876309394836,0.9250849485397339,0.9046084880828857,0.9397136569023132,0.9113942980766296,0.9752330780029297,0.05199705809354782,0.8972035050392151
Child_Abuse,0.8878543376922607,0.8775875568389893,0.8997679948806763,0.9999998807907104,0.9297838807106018,0.9186083674430847,0.9046791195869446,0.897136390209198,0.8596590757369995,0.9022591710090637,0.05658794939517975,0.895363450050354
Illegal_Activity,0.9254854321479797,0.9379054307937622,0.9523876309394836,0.9297838807106018,0.9999998807907104,0.939724326133728,0.9048420190811157,0.9388980269432068,0.929131805896759,0.955819845199585,0.057940639555454254,0.8958878517150879
Physical_Harm,0.9152905941009521,0.9082587361335754,0.9250849485397339,0.9186083674430847,0.939724326133728,1.0,0.9344552159309387,0.9265077710151672,0.8883562088012695,0.9215692281723022,0.05335499346256256,0.9338296055793762
Adult_Content,0.8797273635864258,0.8858986496925354,0.9046084880828857,0.9046791195869446,0.9048420190811157,0.9344552159309387,1.0000004768371582,0.8891622424125671,0.8476371765136719,0.8996022939682007,0.04899132251739502,0.9053394794464111
Political_Campaigning,0.914969801902771,0.9250497817993164,0.9397136569023132,0.897136390209198,0.9388980269432068,0.9265077710151672,0.8891622424125671,1.0000005960464478,0.9077649116516113,0.9403285980224609,0.05811651423573494,0.9297472834587097
Malware_Viruses,0.8778671026229858,0.9508215188980103,0.9113942980766296,0.8596590757369995,0.929131805896759,0.8883562088012695,0.8476371765136719,0.9077649116516113,0.9999996423721313,0.926794171333313,0.05701185762882233,0.851093590259552
Fraud_Deception,0.9348798990249634,0.9342150092124939,0.9752330780029297,0.9022591710090637,0.955819845199585,0.9215692281723022,0.8996022939682007,0.9403285980224609,0.926794171333313,1.0000001192092896,0.052239980548620224,0.8922584652900696
harmless,0.058208998292684555,0.05887913703918457,0.05199705809354782,0.05658794939517975,0.057940639555454254,0.05335499346256256,0.04899132251739502,0.05811651423573494,0.05701185762882233,0.052239980548620224,1.0000512599945068,0.05528344213962555
Hate_Harass_Violence,0.8677082061767578,0.868896484375,0.8972035050392151,0.895363450050354,0.8958878517150879,0.9338296055793762,0.9053394794464111,0.9297472834587097,0.851093590259552,0.8922584652900696,0.05528344213962555,1.0
