,Political_Campaigning,Malware_Viruses,Privacy_Violation_Activity,Child_Abuse,Physical_Harm,Hate_Harass_Violence,Fraud_Deception,Tailored_Financial_Advice,Illegal_Activity,harmless,Economic_Harm,Adult_Content
Political_Campaigning,0.9999998807907104,0.9451524615287781,0.9542093873023987,0.9531595706939697,0.9595997929573059,0.9598427414894104,0.9644543528556824,0.9506780505180359,0.9612143039703369,0.9234344363212585,0.9615066051483154,0.9390653371810913
Malware_Viruses,0.9451524615287781,0.9999997019767761,0.9812616109848022,0.9479242563247681,0.9606154561042786,0.9198592901229858,0.9705644249916077,0.9377784729003906,0.9726601839065552,0.914679229259491,0.9631232619285583,0.9286579489707947
Privacy_Violation_Activity,0.9542093873023987,0.9812616109848022,1.0000001192092896,0.9626098871231079,0.9661804437637329,0.9350831508636475,0.9738547205924988,0.9434005618095398,0.9766547679901123,0.9306930303573608,0.963966429233551,0.946009635925293
Child_Abuse,0.9531595706939697,0.9479242563247681,0.9626098871231079,0.9999995827674866,0.9703723788261414,0.9537904262542725,0.9634000062942505,0.9414346218109131,0.9696767926216125,0.9326828122138977,0.9572919607162476,0.9720321893692017
Physical_Harm,0.9595997929573059,0.9606154561042786,0.9661804437637329,0.9703723788261414,1.0000004768371582,0.9596677422523499,0.966595470905304,0.9432478547096252,0.9770148992538452,0.9314351081848145,0.9691864848136902,0.964708685874939
Hate_Harass_Violence,0.9598427414894104,0.9198592901229858,0.9350831508636475,0.9537904262542725,0.9596677422523499,1.0000001192092896,0.9395116567611694,0.9162241816520691,0.9454315304756165,0.9071656465530396,0.9369509220123291,0.9635470509529114
Fraud_Deception,0.9644543528556824,0.9705644249916077,0.9738547205924988,0.9634000062942505,0.966595470905304,0.9395116567611694,1.000000238418579,0.9669902920722961,0.9856169819831848,0.9214562773704529,0.9862507581710815,0.9467713832855225
Tailored_Financial_Advice,0.9506780505180359,0.9377784729003906,0.9434005618095398,0.9414346218109131,0.9432478547096252,0.9162241816520691,0.9669902920722961,0.9999998807907104,0.9608288407325745,0.922869086265564,0.9764428734779358,0.9171701073646545
Illegal_Activity,0.9612143039703369,0.9726601839065552,0.9766547679901123,0.9696767926216125,0.9770148992538452,0.9454315304756165,0.9856169819831848,0.9608288407325745,1.0,0.9310447573661804,0.9779657125473022,0.953895628452301
harmless,0.9234344363212585,0.914679229259491,0.9306930303573608,0.9326828122138977,0.9314351081848145,0.9071656465530396,0.9214562773704529,0.922869086265564,0.9310447573661804,1.000000238418579,0.9265334606170654,0.904181957244873
Economic_Harm,0.9615066051483154,0.9631232619285583,0.963966429233551,0.9572919607162476,0.9691864848136902,0.9369509220123291,0.9862507581710815,0.9764428734779358,0.9779657125473022,0.9265334606170654,0.9999999403953552,0.9438806176185608
Adult_Content,0.9390653371810913,0.9286579489707947,0.946009635925293,0.9720321893692017,0.964708685874939,0.9635470509529114,0.9467713832855225,0.9171701073646545,0.953895628452301,0.904181957244873,0.9438806176185608,1.0
