,Tailored_Financial_Advice,Privacy_Violation_Activity,Economic_Harm,Child_Abuse,Illegal_Activity,Physical_Harm,Adult_Content,Political_Campaigning,Malware_Viruses,Fraud_Deception,harmless,Hate_Harass_Violence
Tailored_Financial_Advice,1.0000014305114746,0.9789297580718994,0.9770408272743225,0.9772443175315857,0.9840472936630249,0.9727208018302917,0.9699629545211792,0.9761704206466675,0.9670929312705994,0.979030191898346,0.88221675157547,0.9511141777038574
Privacy_Violation_Activity,0.9789297580718994,1.000002145767212,0.9840242266654968,0.9767471551895142,0.985806941986084,0.9805796146392822,0.9736751914024353,0.9849740266799927,0.9884591698646545,0.9862157702445984,0.8802145719528198,0.967693567276001
Economic_Harm,0.9770408272743225,0.9840242266654968,1.0000011920928955,0.9792702794075012,0.9825149774551392,0.9784044027328491,0.9755798578262329,0.9889193773269653,0.9746327996253967,0.9939534664154053,0.8728259205818176,0.9740849733352661
Child_Abuse,0.9772443175315857,0.9767471551895142,0.9792702794075012,1.0,0.9849269390106201,0.9787696599960327,0.9841888546943665,0.979512631893158,0.9628350138664246,0.9808669686317444,0.8639572858810425,0.9687533378601074
Illegal_Activity,0.9840472936630249,0.985806941986084,0.9825149774551392,0.9849269390106201,1.0000008344650269,0.9778442978858948,0.9794052243232727,0.9807549715042114,0.9752259850502014,0.9849990010261536,0.8765631914138794,0.9592381715774536
Physical_Harm,0.9727208018302917,0.9805796146392822,0.9784044027328491,0.9787696599960327,0.9778442978858948,1.0000016689300537,0.9841565489768982,0.9819594025611877,0.9667871594429016,0.9765620231628418,0.8668882250785828,0.9850114583969116
Adult_Content,0.9699629545211792,0.9736751914024353,0.9755798578262329,0.9841888546943665,0.9794052243232727,0.9841565489768982,1.0000007152557373,0.9749301075935364,0.9577594995498657,0.9748146533966064,0.8576363921165466,0.971808671951294
Political_Campaigning,0.9761704206466675,0.9849740266799927,0.9889193773269653,0.979512631893158,0.9807549715042114,0.9819594025611877,0.9749301075935364,1.000001072883606,0.972623348236084,0.9889450669288635,0.8706313371658325,0.9814274311065674
Malware_Viruses,0.9670929312705994,0.9884591698646545,0.9746327996253967,0.9628350138664246,0.9752259850502014,0.9667871594429016,0.9577594995498657,0.972623348236084,1.0000016689300537,0.9780566692352295,0.8804745078086853,0.9518446326255798
Fraud_Deception,0.979030191898346,0.9862157702445984,0.9939534664154053,0.9808669686317444,0.9849990010261536,0.9765620231628418,0.9748146533966064,0.9889450669288635,0.9780566692352295,1.000000238418579,0.8755976557731628,0.9693158268928528
harmless,0.88221675157547,0.8802145719528198,0.8728259205818176,0.8639572858810425,0.8765631914138794,0.8668882250785828,0.8576363921165466,0.8706313371658325,0.8804745078086853,0.8755976557731628,1.000000238418579,0.8469212651252747
Hate_Harass_Violence,0.9511141777038574,0.967693567276001,0.9740849733352661,0.9687533378601074,0.9592381715774536,0.9850114583969116,0.971808671951294,0.9814274311065674,0.9518446326255798,0.9693158268928528,0.8469212651252747,1.0000003576278687
