,Privacy_Violation_Activity,Physical_Harm,Child_Abuse,Fraud_Deception,Economic_Harm,Tailored_Financial_Advice,Hate_Harass_Violence,Political_Campaigning,harmless,Malware_Viruses,Illegal_Activity,Adult_Content
Privacy_Violation_Activity,1.0000005960464478,0.9759345054626465,0.9476155042648315,0.9771576523780823,0.9683449268341064,0.9619688987731934,0.9546916484832764,0.9503620862960815,0.8310847878456116,0.9841196537017822,0.9714890718460083,0.965254008769989
Physical_Harm,0.9759345054626465,1.0000003576278687,0.9567448496818542,0.9761321544647217,0.9736350774765015,0.9632691144943237,0.9792500734329224,0.9593987464904785,0.8558863401412964,0.9630855917930603,0.9654526710510254,0.9810628890991211
Child_Abuse,0.9476155042648315,0.9567448496818542,1.0000007152557373,0.9573236703872681,0.9591299295425415,0.958672285079956,0.9667622447013855,0.9666504263877869,0.8116688132286072,0.9389379024505615,0.9740736484527588,0.9673681259155273
Fraud_Deception,0.9771576523780823,0.9761321544647217,0.9573236703872681,1.0000001192092896,0.9918928146362305,0.9762057065963745,0.9661641120910645,0.9671987891197205,0.8556790947914124,0.9713670015335083,0.974617063999176,0.97452712059021
Economic_Harm,0.9683449268341064,0.9736350774765015,0.9591299295425415,0.9918928146362305,1.000001072883606,0.9820297956466675,0.9678633809089661,0.9686596393585205,0.8550750613212585,0.9620004892349243,0.9730625152587891,0.9743484258651733
Tailored_Financial_Advice,0.9619688987731934,0.9632691144943237,0.958672285079956,0.9762057065963745,0.9820297956466675,1.0000001192092896,0.9544204473495483,0.9618141651153564,0.8324469327926636,0.9525116682052612,0.9693087339401245,0.9601989388465881
Hate_Harass_Violence,0.9546916484832764,0.9792500734329224,0.9667622447013855,0.9661641120910645,0.9678633809089661,0.9544204473495483,0.9999991655349731,0.9777975082397461,0.8303430676460266,0.9441062211990356,0.9647117257118225,0.9772807955741882
Political_Campaigning,0.9503620862960815,0.9593987464904785,0.9666504263877869,0.9671987891197205,0.9686596393585205,0.9618141651153564,0.9777975082397461,1.0000004768371582,0.8262489438056946,0.9456189274787903,0.9713205099105835,0.9628208875656128
harmless,0.8310847878456116,0.8558863401412964,0.8116688132286072,0.8556790947914124,0.8550750613212585,0.8324469327926636,0.8303430676460266,0.8262489438056946,0.9999997019767761,0.8241677284240723,0.8136751055717468,0.8513551354408264
Malware_Viruses,0.9841196537017822,0.9630855917930603,0.9389379024505615,0.9713670015335083,0.9620004892349243,0.9525116682052612,0.9441062211990356,0.9456189274787903,0.8241677284240723,1.0000004768371582,0.9645578861236572,0.9526633024215698
Illegal_Activity,0.9714890718460083,0.9654526710510254,0.9740736484527588,0.974617063999176,0.9730625152587891,0.9693087339401245,0.9647117257118225,0.9713205099105835,0.8136751055717468,0.9645578861236572,0.9999998807907104,0.9666763544082642
Adult_Content,0.965254008769989,0.9810628890991211,0.9673681259155273,0.97452712059021,0.9743484258651733,0.9601989388465881,0.9772807955741882,0.9628208875656128,0.8513551354408264,0.9526633024215698,0.9666763544082642,1.0000003576278687
