,Hate_Harass_Violence,Adult_Content,Child_Abuse,Tailored_Financial_Advice,Economic_Harm,Privacy_Violation_Activity,Illegal_Activity,Fraud_Deception,Political_Campaigning,Physical_Harm,Malware_Viruses,harmless
Hate_Harass_Violence,1.0000004768371582,0.9732517004013062,0.9586971998214722,0.9569520354270935,0.9681392908096313,0.9612638354301453,0.9663896560668945,0.9644215703010559,0.9717662334442139,0.9857531189918518,0.94809889793396,0.8361374139785767
Adult_Content,0.9732517004013062,1.0000007152557373,0.9719920754432678,0.9626070261001587,0.9690448045730591,0.9631229639053345,0.9754149913787842,0.9653816223144531,0.9657518863677979,0.9755162000656128,0.9552409648895264,0.832099199295044
Child_Abuse,0.9586971998214722,0.9719920754432678,0.9999997019767761,0.9602475762367249,0.9601690769195557,0.9426436424255371,0.9764512777328491,0.9530173540115356,0.9717139601707458,0.9547023177146912,0.9489016532897949,0.8239346742630005
Tailored_Financial_Advice,0.9569520354270935,0.9626070261001587,0.9602475762367249,1.0000007152557373,0.9830313324928284,0.9629783630371094,0.9729344248771667,0.975273847579956,0.966813862323761,0.9624019861221313,0.9555355310440063,0.8406070470809937
Economic_Harm,0.9681392908096313,0.9690448045730591,0.9601690769195557,0.9830313324928284,1.0000004768371582,0.9690344333648682,0.9762370586395264,0.9899227619171143,0.9723573923110962,0.9667385816574097,0.9635154008865356,0.8506379723548889
Privacy_Violation_Activity,0.9612638354301453,0.9631229639053345,0.9426436424255371,0.9629783630371094,0.9690344333648682,1.0000007152557373,0.9733401536941528,0.9807128310203552,0.9526618123054504,0.9741332530975342,0.9795421361923218,0.8352351784706116
Illegal_Activity,0.9663896560668945,0.9754149913787842,0.9764512777328491,0.9729344248771667,0.9762370586395264,0.9733401536941528,1.0000015497207642,0.9759960770606995,0.9750706553459167,0.9704551696777344,0.972342848777771,0.831397533416748
Fraud_Deception,0.9644215703010559,0.9653816223144531,0.9530173540115356,0.975273847579956,0.9899227619171143,0.9807128310203552,0.9759960770606995,1.0000003576278687,0.965886116027832,0.9673041105270386,0.9723166227340698,0.8540542721748352
Political_Campaigning,0.9717662334442139,0.9657518863677979,0.9717139601707458,0.966813862323761,0.9723573923110962,0.9526618123054504,0.9750706553459167,0.965886116027832,1.0000004768371582,0.9600930213928223,0.9563708305358887,0.8375711441040039
Physical_Harm,0.9857531189918518,0.9755162000656128,0.9547023177146912,0.9624019861221313,0.9667385816574097,0.9741332530975342,0.9704551696777344,0.9673041105270386,0.9600930213928223,1.000001311302185,0.957679808139801,0.8417457938194275
Malware_Viruses,0.94809889793396,0.9552409648895264,0.9489016532897949,0.9555355310440063,0.9635154008865356,0.9795421361923218,0.972342848777771,0.9723166227340698,0.9563708305358887,0.957679808139801,1.0000015497207642,0.8271793127059937
harmless,0.8361374139785767,0.832099199295044,0.8239346742630005,0.8406070470809937,0.8506379723548889,0.8352351784706116,0.831397533416748,0.8540542721748352,0.8375711441040039,0.8417457938194275,0.8271793127059937,1.0000009536743164
