,Hate_Harass_Violence,Malware_Viruses,Adult_Content,Tailored_Financial_Advice,harmless,Privacy_Violation_Activity,Economic_Harm,Fraud_Deception,Child_Abuse,Political_Campaigning,Physical_Harm,Illegal_Activity
Hate_Harass_Violence,1.0000001192092896,0.9412808418273926,0.9568058848381042,0.942640483379364,0.934739887714386,0.9490222334861755,0.9531603455543518,0.9525410532951355,0.9575325846672058,0.9665231704711914,0.9618583917617798,0.9560562968254089
Malware_Viruses,0.9412808418273926,0.9999999403953552,0.9388507604598999,0.9555790424346924,0.9452537298202515,0.9807708263397217,0.971150279045105,0.9756311774253845,0.9554830193519592,0.9606828093528748,0.96503084897995,0.9776555299758911
Adult_Content,0.9568058848381042,0.9388507604598999,0.9999997019767761,0.938355028629303,0.9246865510940552,0.9532892107963562,0.9544193744659424,0.9521183371543884,0.971416711807251,0.9477258920669556,0.9598602056503296,0.9595807194709778
Tailored_Financial_Advice,0.942640483379364,0.9555790424346924,0.938355028629303,1.000000238418579,0.953021228313446,0.9598597288131714,0.980838418006897,0.973530113697052,0.9573050737380981,0.9670280814170837,0.9610686302185059,0.9732655882835388
harmless,0.934739887714386,0.9452537298202515,0.9246865510940552,0.953021228313446,1.0,0.950964629650116,0.9522812366485596,0.9485303163528442,0.9495723843574524,0.952491283416748,0.9519261717796326,0.9557745456695557
Privacy_Violation_Activity,0.9490222334861755,0.9807708263397217,0.9532892107963562,0.9598597288131714,0.950964629650116,1.0000004768371582,0.9708462357521057,0.9773262739181519,0.9663171172142029,0.9686027765274048,0.9679335355758667,0.9798333644866943
Economic_Harm,0.9531603455543518,0.971150279045105,0.9544193744659424,0.980838418006897,0.9522812366485596,0.9708462357521057,1.0000001192092896,0.9887115359306335,0.9649584293365479,0.9722239375114441,0.9720115065574646,0.9833549857139587
Fraud_Deception,0.9525410532951355,0.9756311774253845,0.9521183371543884,0.973530113697052,0.9485303163528442,0.9773262739181519,0.9887115359306335,0.9999998211860657,0.966280460357666,0.9728695154190063,0.9684686660766602,0.9870982766151428
Child_Abuse,0.9575325846672058,0.9554830193519592,0.971416711807251,0.9573050737380981,0.9495723843574524,0.9663171172142029,0.9649584293365479,0.966280460357666,1.0000004768371582,0.9621244668960571,0.9684851169586182,0.9742139577865601
Political_Campaigning,0.9665231704711914,0.9606828093528748,0.9477258920669556,0.9670280814170837,0.952491283416748,0.9686027765274048,0.9722239375114441,0.9728695154190063,0.9621244668960571,1.0000004768371582,0.9677707552909851,0.972046434879303
Physical_Harm,0.9618583917617798,0.96503084897995,0.9598602056503296,0.9610686302185059,0.9519261717796326,0.9679335355758667,0.9720115065574646,0.9684686660766602,0.9684851169586182,0.9677707552909851,1.0000005960464478,0.9795479774475098
Illegal_Activity,0.9560562968254089,0.9776555299758911,0.9595807194709778,0.9732655882835388,0.9557745456695557,0.9798333644866943,0.9833549857139587,0.9870982766151428,0.9742139577865601,0.972046434879303,0.9795479774475098,1.0000001192092896
