,Tailored_Financial_Advice,Privacy_Violation_Activity,Economic_Harm,Child_Abuse,Illegal_Activity,Physical_Harm,Adult_Content,Political_Campaigning,Malware_Viruses,Fraud_Deception,harmless,Hate_Harass_Violence
Tailored_Financial_Advice,0.9999997615814209,0.9259180426597595,0.9691248536109924,0.925388514995575,0.9522358775138855,0.9409117698669434,0.887673020362854,0.9502614736557007,0.9177777767181396,0.9491251707077026,0.8919133543968201,0.9079118371009827
Privacy_Violation_Activity,0.9259180426597595,0.9999999403953552,0.939993679523468,0.914322555065155,0.9569557309150696,0.9306556582450867,0.8982170820236206,0.9469077587127686,0.9535375237464905,0.9434690475463867,0.8753040432929993,0.9071503281593323
Economic_Harm,0.9691248536109924,0.939993679523468,0.9999999403953552,0.9266060590744019,0.9672891497612,0.9409223794937134,0.9109168648719788,0.9558132290840149,0.9348832368850708,0.9785829782485962,0.8792601823806763,0.9200074672698975
Child_Abuse,0.925388514995575,0.914322555065155,0.9266060590744019,1.0000003576278687,0.93941330909729,0.944165825843811,0.938157856464386,0.9273761510848999,0.8996633291244507,0.9176211953163147,0.8785327672958374,0.9207273125648499
Illegal_Activity,0.9522358775138855,0.9569557309150696,0.9672891497612,0.93941330909729,1.000000238418579,0.9535666704177856,0.9119824171066284,0.9527483582496643,0.952136754989624,0.9685344696044922,0.8934098482131958,0.9173717498779297
Physical_Harm,0.9409117698669434,0.9306556582450867,0.9409223794937134,0.944165825843811,0.9535666704177856,1.0000004768371582,0.9273898601531982,0.9467818737030029,0.9182475805282593,0.931567907333374,0.8860505819320679,0.9362131953239441
Adult_Content,0.887673020362854,0.8982170820236206,0.9109168648719788,0.938157856464386,0.9119824171066284,0.9273898601531982,0.999999463558197,0.9037903547286987,0.8739312887191772,0.8981601595878601,0.8422157764434814,0.9107130765914917
Political_Campaigning,0.9502614736557007,0.9469077587127686,0.9558132290840149,0.9273761510848999,0.9527483582496643,0.9467818737030029,0.9037903547286987,1.0,0.9340585470199585,0.9496932029724121,0.891310453414917,0.9494720697402954
Malware_Viruses,0.9177777767181396,0.9535375237464905,0.9348832368850708,0.8996633291244507,0.952136754989624,0.9182475805282593,0.8739312887191772,0.9340585470199585,1.0000005960464478,0.9456751346588135,0.8845433592796326,0.9040944576263428
Fraud_Deception,0.9491251707077026,0.9434690475463867,0.9785829782485962,0.9176211953163147,0.9685344696044922,0.931567907333374,0.8981601595878601,0.9496932029724121,0.9456751346588135,1.000000238418579,0.870513916015625,0.913667619228363
harmless,0.8919133543968201,0.8753040432929993,0.8792601823806763,0.8785327672958374,0.8934098482131958,0.8860505819320679,0.8422157764434814,0.891310453414917,0.8845433592796326,0.870513916015625,0.9999998807907104,0.8774214386940002
Hate_Harass_Violence,0.9079118371009827,0.9071503281593323,0.9200074672698975,0.9207273125648499,0.9173717498779297,0.9362131953239441,0.9107130765914917,0.9494720697402954,0.9040944576263428,0.913667619228363,0.8774214386940002,0.9999997615814209
