,Economic_Harm,harmless,Tailored_Financial_Advice,Adult_Content,Fraud_Deception,Hate_Harass_Violence,Illegal_Activity,Physical_Harm,Privacy_Violation_Activity,Malware_Viruses,Child_Abuse,Political_Campaigning
Economic_Harm,1.0000073909759521,0.9976217150688171,0.9996448755264282,0.9984223246574402,0.996259331703186,0.9993370771408081,0.9984930753707886,0.9961931109428406,0.9963253736495972,0.9966957569122314,0.9980877041816711,0.9988293051719666
harmless,0.9976217150688171,1.000010371208191,0.9977240562438965,0.9971944093704224,0.9954487085342407,0.9968488216400146,0.9976750612258911,0.9928326606750488,0.9959884881973267,0.996242880821228,0.9970225095748901,0.9975409507751465
Tailored_Financial_Advice,0.9996448755264282,0.9977240562438965,1.0000090599060059,0.9978797435760498,0.9956895112991333,0.9992680549621582,0.9981421232223511,0.9966018199920654,0.9960480332374573,0.9962631464004517,0.9977647066116333,0.9985085725784302
Adult_Content,0.9984223246574402,0.9971944093704224,0.9978797435760498,1.0000121593475342,0.9989892840385437,0.9968342185020447,0.9996452927589417,0.9908673763275146,0.9989888668060303,0.9991832971572876,0.9996916055679321,0.9996377229690552
Fraud_Deception,0.996259331703186,0.9954487085342407,0.9956895112991333,0.9989892840385437,1.000014066696167,0.9934574961662292,0.9988653659820557,0.9856131076812744,0.999675452709198,0.9995467662811279,0.9990564584732056,0.999118983745575
Hate_Harass_Violence,0.9993370771408081,0.9968488216400146,0.9992680549621582,0.9968342185020447,0.9934574961662292,1.000009536743164,0.9968749284744263,0.9982316493988037,0.9936424493789673,0.994077205657959,0.9964487552642822,0.9971312284469604
Illegal_Activity,0.9984930753707886,0.9976750612258911,0.9981421232223511,0.9996452927589417,0.9988653659820557,0.9968749284744263,1.0000122785568237,0.9911583662033081,0.9990146160125732,0.9991947412490845,0.999815821647644,0.9996106624603271
Physical_Harm,0.9961931109428406,0.9928326606750488,0.9966018199920654,0.9908673763275146,0.9856131076812744,0.9982316493988037,0.9911583662033081,1.0000091791152954,0.9861208200454712,0.9868121147155762,0.990363359451294,0.9914370775222778
Privacy_Violation_Activity,0.9963253736495972,0.9959884881973267,0.9960480332374573,0.9989888668060303,0.999675452709198,0.9936424493789673,0.9990146160125732,0.9861208200454712,1.0000157356262207,0.9998394250869751,0.9991812705993652,0.9991933107376099
Malware_Viruses,0.9966957569122314,0.996242880821228,0.9962631464004517,0.9991832971572876,0.9995467662811279,0.994077205657959,0.9991947412490845,0.9868121147155762,0.9998394250869751,1.000016212463379,0.9992324113845825,0.9992157816886902
Child_Abuse,0.9980877041816711,0.9970225095748901,0.9977647066116333,0.9996916055679321,0.9990564584732056,0.9964487552642822,0.999815821647644,0.990363359451294,0.9991812705993652,0.9992324113845825,1.0000090599060059,0.9995819926261902
Political_Campaigning,0.9988293051719666,0.9975409507751465,0.9985085725784302,0.9996377229690552,0.999118983745575,0.9971312284469604,0.9996106624603271,0.9914370775222778,0.9991933107376099,0.9992157816886902,0.9995819926261902,1.0000123977661133
