,Economic_Harm,harmless,Tailored_Financial_Advice,Adult_Content,Fraud_Deception,Hate_Harass_Violence,Illegal_Activity,Physical_Harm,Privacy_Violation_Activity,Malware_Viruses,Child_Abuse,Political_Campaigning
Economic_Harm,1.0000008344650269,0.3631659150123596,0.8163536787033081,0.674720048904419,0.8675609827041626,0.6737728714942932,0.8237001299858093,0.7461376190185547,0.7128406763076782,0.7198877334594727,0.6923477649688721,0.7291775345802307
harmless,0.3631659150123596,1.0000004768371582,0.3243216276168823,0.3549387454986572,0.2948622703552246,0.4153171181678772,0.3882545232772827,0.34822937846183777,0.37140893936157227,0.3249947130680084,0.3255717158317566,0.3063467741012573
Tailored_Financial_Advice,0.8163536787033081,0.3243216276168823,1.0000009536743164,0.6005092263221741,0.7537113428115845,0.6169325113296509,0.745837926864624,0.675972580909729,0.6581433415412903,0.6250914335250854,0.6472375392913818,0.6886690855026245
Adult_Content,0.674720048904419,0.3549387454986572,0.6005092263221741,1.0000011920928955,0.6417056322097778,0.7154271602630615,0.7005051374435425,0.7197479009628296,0.6485846042633057,0.571110725402832,0.7397361993789673,0.6311727166175842
Fraud_Deception,0.8675609827041626,0.2948622703552246,0.7537113428115845,0.6417056322097778,1.0000009536743164,0.6427806615829468,0.8247246742248535,0.6931071281433105,0.7561487555503845,0.75211101770401,0.6868071556091309,0.7346493005752563
Hate_Harass_Violence,0.6737728714942932,0.4153171181678772,0.6169325113296509,0.7154271602630615,0.6427806615829468,1.0000011920928955,0.6902453303337097,0.7467420101165771,0.6264162659645081,0.5805321931838989,0.673334002494812,0.7301276922225952
Illegal_Activity,0.8237001299858093,0.3882545232772827,0.745837926864624,0.7005051374435425,0.8247246742248535,0.6902453303337097,1.0,0.7844395637512207,0.7871396541595459,0.7738543748855591,0.7509227991104126,0.738507866859436
Physical_Harm,0.7461376190185547,0.34822937846183777,0.675972580909729,0.7197479009628296,0.6931071281433105,0.7467420101165771,0.7844395637512207,1.0000011920928955,0.6763908863067627,0.6716733574867249,0.6992632150650024,0.7081838250160217
Privacy_Violation_Activity,0.7128406763076782,0.37140893936157227,0.6581433415412903,0.6485846042633057,0.7561487555503845,0.6264162659645081,0.7871396541595459,0.6763908863067627,0.9999995231628418,0.8083840608596802,0.6671594977378845,0.7006092667579651
Malware_Viruses,0.7198877334594727,0.3249947130680084,0.6250914335250854,0.571110725402832,0.75211101770401,0.5805321931838989,0.7738543748855591,0.6716733574867249,0.8083840608596802,1.0000007152557373,0.6138795018196106,0.659774899482727
Child_Abuse,0.6923477649688721,0.3255717158317566,0.6472375392913818,0.7397361993789673,0.6868071556091309,0.673334002494812,0.7509227991104126,0.6992632150650024,0.6671594977378845,0.6138795018196106,1.000000238418579,0.6681858897209167
Political_Campaigning,0.7291775345802307,0.3063467741012573,0.6886690855026245,0.6311727166175842,0.7346493005752563,0.7301276922225952,0.738507866859436,0.7081838250160217,0.7006092667579651,0.659774899482727,0.6681858897209167,1.0000014305114746
