,Child_Abuse,Political_Campaigning,Privacy_Violation_Activity,Illegal_Activity,Economic_Harm,Adult_Content,Physical_Harm,Fraud_Deception,Tailored_Financial_Advice,harmless,Hate_Harass_Violence,Malware_Viruses
Child_Abuse,1.0000028610229492,0.8384804725646973,0.7939307689666748,0.8824878334999084,0.8344112634658813,0.8817998170852661,0.8624304533004761,0.8436019420623779,0.8243606090545654,0.2796527147293091,0.851625919342041,0.7525181174278259
Political_Campaigning,0.8384804725646973,1.0000026226043701,0.8600839972496033,0.8772677183151245,0.8818683624267578,0.823251485824585,0.8437749147415161,0.8917807340621948,0.8592259883880615,0.33999574184417725,0.8806416392326355,0.8304275274276733
Privacy_Violation_Activity,0.7939307689666748,0.8600839972496033,1.0000033378601074,0.8864733576774597,0.8600139617919922,0.7870239019393921,0.8312183618545532,0.8849100470542908,0.8387936353683472,0.3871734142303467,0.7662637233734131,0.912860095500946
Illegal_Activity,0.8824878334999084,0.8772677183151245,0.8864733576774597,1.0000019073486328,0.8948400616645813,0.8403733968734741,0.864931046962738,0.9086058139801025,0.8602226972579956,0.31148988008499146,0.8222070932388306,0.8600480556488037
Economic_Harm,0.8344112634658813,0.8818683624267578,0.8600139617919922,0.8948400616645813,1.0000014305114746,0.8228110671043396,0.8443698287010193,0.9502385258674622,0.9152313470840454,0.34821611642837524,0.8085263967514038,0.8374298214912415
Adult_Content,0.8817998170852661,0.823251485824585,0.7870239019393921,0.8403733968734741,0.8228110671043396,1.0000014305114746,0.8877158164978027,0.8260804414749146,0.7920010089874268,0.28812897205352783,0.8679318428039551,0.7383823394775391
Physical_Harm,0.8624304533004761,0.8437749147415161,0.8312183618545532,0.864931046962738,0.8443698287010193,0.8877158164978027,1.000001072883606,0.8398151993751526,0.8371533155441284,0.37036359310150146,0.8762666583061218,0.7836560010910034
Fraud_Deception,0.8436019420623779,0.8917807340621948,0.8849100470542908,0.9086058139801025,0.9502385258674622,0.8260804414749146,0.8398151993751526,1.0000014305114746,0.8931618928909302,0.3276863396167755,0.8195928335189819,0.87424635887146
Tailored_Financial_Advice,0.8243606090545654,0.8592259883880615,0.8387936353683472,0.8602226972579956,0.9152313470840454,0.7920010089874268,0.8371533155441284,0.8931618928909302,1.0000015497207642,0.360121488571167,0.7816030979156494,0.793444037437439
harmless,0.2796527147293091,0.33999574184417725,0.3871734142303467,0.31148988008499146,0.34821611642837524,0.28812897205352783,0.37036359310150146,0.3276863396167755,0.360121488571167,1.0000020265579224,0.30345457792282104,0.34924209117889404
Hate_Harass_Violence,0.851625919342041,0.8806416392326355,0.7662637233734131,0.8222070932388306,0.8085263967514038,0.8679318428039551,0.8762666583061218,0.8195928335189819,0.7816030979156494,0.30345457792282104,1.0000004768371582,0.7399204969406128
Malware_Viruses,0.7525181174278259,0.8304275274276733,0.912860095500946,0.8600480556488037,0.8374298214912415,0.7383823394775391,0.7836560010910034,0.87424635887146,0.793444037437439,0.34924209117889404,0.7399204969406128,1.0000014305114746
