,Hate_Harass_Violence,Malware_Viruses,Adult_Content,Tailored_Financial_Advice,harmless,Privacy_Violation_Activity,Economic_Harm,Fraud_Deception,Child_Abuse,Political_Campaigning,Physical_Harm,Illegal_Activity
Hate_Harass_Violence,1.0,0.7807128429412842,0.879935622215271,0.8090260028839111,0.21400213241577148,0.7977539300918579,0.8617095351219177,0.8597439527511597,0.8747483491897583,0.9128152132034302,0.8910319209098816,0.8661527633666992
Malware_Viruses,0.7807128429412842,1.0000004768371582,0.8111649751663208,0.8192809820175171,0.21691399812698364,0.9285932779312134,0.863258957862854,0.9050400257110596,0.7998087406158447,0.8484365940093994,0.8334184885025024,0.8903959393501282
Adult_Content,0.879935622215271,0.8111649751663208,1.000001072883606,0.8352492451667786,0.21410898864269257,0.864280104637146,0.8577251434326172,0.8553441762924194,0.8796278238296509,0.8629010915756226,0.9280709028244019,0.8819200992584229
Tailored_Financial_Advice,0.8090260028839111,0.8192809820175171,0.8352492451667786,1.0000008344650269,0.2237505316734314,0.845038890838623,0.9308725595474243,0.9024068117141724,0.8519797921180725,0.8725408315658569,0.8332173228263855,0.8809201121330261
harmless,0.21400213241577148,0.21691399812698364,0.21410898864269257,0.2237505316734314,1.0000009536743164,0.2608240246772766,0.2217981070280075,0.23279066383838654,0.17498226463794708,0.2240818291902542,0.2905423641204834,0.22634854912757874
Privacy_Violation_Activity,0.7977539300918579,0.9285932779312134,0.864280104637146,0.845038890838623,0.2608240246772766,1.0000011920928955,0.8670680522918701,0.9070428609848022,0.7998923063278198,0.857070803642273,0.886480450630188,0.8976823091506958
Economic_Harm,0.8617095351219177,0.863258957862854,0.8577251434326172,0.9308725595474243,0.2217981070280075,0.8670680522918701,0.9999992847442627,0.9651004672050476,0.8764127492904663,0.9088512063026428,0.8501896858215332,0.9211426973342896
Fraud_Deception,0.8597439527511597,0.9050400257110596,0.8553441762924194,0.9024068117141724,0.23279066383838654,0.9070428609848022,0.9651004672050476,1.0000014305114746,0.8639202117919922,0.9088078737258911,0.8531192541122437,0.9334901571273804
Child_Abuse,0.8747483491897583,0.7998087406158447,0.8796278238296509,0.8519797921180725,0.17498226463794708,0.7998923063278198,0.8764127492904663,0.8639202117919922,1.0000008344650269,0.876706600189209,0.8387752771377563,0.9004608988761902
Political_Campaigning,0.9128152132034302,0.8484365940093994,0.8629010915756226,0.8725408315658569,0.2240818291902542,0.857070803642273,0.9088512063026428,0.9088078737258911,0.876706600189209,1.0000015497207642,0.8601080179214478,0.9104697704315186
Physical_Harm,0.8910319209098816,0.8334184885025024,0.9280709028244019,0.8332173228263855,0.2905423641204834,0.886480450630188,0.8501896858215332,0.8531192541122437,0.8387752771377563,0.8601080179214478,1.0000022649765015,0.881942868232727
Illegal_Activity,0.8661527633666992,0.8903959393501282,0.8819200992584229,0.8809201121330261,0.22634854912757874,0.8976823091506958,0.9211426973342896,0.9334901571273804,0.9004608988761902,0.9104697704315186,0.881942868232727,1.0000005960464478
