,Hate_Harass_Violence,Malware_Viruses,Adult_Content,Tailored_Financial_Advice,harmless,Privacy_Violation_Activity,Economic_Harm,Fraud_Deception,Child_Abuse,Political_Campaigning,Physical_Harm,Illegal_Activity
Hate_Harass_Violence,1.0,0.8524234294891357,0.9362968802452087,0.8543025255203247,0.03270505368709564,0.8731982707977295,0.9216296672821045,0.9060920476913452,0.8840702772140503,0.9273878931999207,0.9571853876113892,0.8895302414894104
Malware_Viruses,0.8524234294891357,1.0,0.8688442707061768,0.8885518312454224,0.015269100666046143,0.9554412961006165,0.9070974588394165,0.9192248582839966,0.8434489965438843,0.8903785347938538,0.9038918614387512,0.8918694257736206
Adult_Content,0.9362968802452087,0.8688442707061768,0.9999996423721313,0.8930636048316956,0.035814832895994186,0.9078612327575684,0.9337509274482727,0.9298620223999023,0.9355672597885132,0.9372430443763733,0.9590160250663757,0.9337760806083679
Tailored_Financial_Advice,0.8543025255203247,0.8885518312454224,0.8930636048316956,0.9999998807907104,0.028812002390623093,0.913872241973877,0.9554243087768555,0.9464890360832214,0.9177694916725159,0.9306179285049438,0.9086703062057495,0.9313465356826782
harmless,0.03270505368709564,0.015269100666046143,0.035814832895994186,0.028812002390623093,0.9999998807907104,0.017689110711216927,0.01791803166270256,0.026960130780935287,0.036713965237140656,0.0553429052233696,0.02723299339413643,0.03383976221084595
Privacy_Violation_Activity,0.8731982707977295,0.9554412961006165,0.9078612327575684,0.913872241973877,0.017689110711216927,0.9999999403953552,0.934708833694458,0.9471465945243835,0.8978111743927002,0.9310598373413086,0.92836993932724,0.9403247833251953
Economic_Harm,0.9216296672821045,0.9070974588394165,0.9337509274482727,0.9554243087768555,0.01791803166270256,0.934708833694458,1.0,0.976858377456665,0.9234488010406494,0.9619171619415283,0.9424467086791992,0.9525617361068726
Fraud_Deception,0.9060920476913452,0.9192248582839966,0.9298620223999023,0.9464890360832214,0.026960130780935287,0.9471465945243835,0.976858377456665,1.000000238418579,0.9266780614852905,0.9598228931427002,0.9342153072357178,0.9516960382461548
Child_Abuse,0.8840702772140503,0.8434489965438843,0.9355672597885132,0.9177694916725159,0.036713965237140656,0.8978111743927002,0.9234488010406494,0.9266780614852905,1.0000001192092896,0.9292404055595398,0.9194881916046143,0.9418150186538696
Political_Campaigning,0.9273878931999207,0.8903785347938538,0.9372430443763733,0.9306179285049438,0.0553429052233696,0.9310598373413086,0.9619171619415283,0.9598228931427002,0.9292404055595398,1.000000238418579,0.9394019842147827,0.9516251087188721
Physical_Harm,0.9571853876113892,0.9038918614387512,0.9590160250663757,0.9086703062057495,0.02723299339413643,0.92836993932724,0.9424467086791992,0.9342153072357178,0.9194881916046143,0.9394019842147827,0.9999998807907104,0.9299167394638062
Illegal_Activity,0.8895302414894104,0.8918694257736206,0.9337760806083679,0.9313465356826782,0.03383976221084595,0.9403247833251953,0.9525617361068726,0.9516960382461548,0.9418150186538696,0.9516251087188721,0.9299167394638062,0.9999998807907104
