,Economic_Harm,harmless,Tailored_Financial_Advice,Adult_Content,Fraud_Deception,Hate_Harass_Violence,Illegal_Activity,Physical_Harm,Privacy_Violation_Activity,Malware_Viruses,Child_Abuse,Political_Campaigning
Economic_Harm,0.9999996423721313,0.08628839254379272,0.8232752084732056,0.6759704351425171,0.897615909576416,0.6384243965148926,0.8383017182350159,0.7682067155838013,0.743661105632782,0.7515752911567688,0.6976282596588135,0.7463419437408447
harmless,0.08628839254379272,1.0000009536743164,0.01147777121514082,0.09550516307353973,0.04581078141927719,0.1584283858537674,0.06312265992164612,0.10195617377758026,0.04951181262731552,0.07182168960571289,0.05014698579907417,0.07795251905918121
Tailored_Financial_Advice,0.8232752084732056,0.01147777121514082,1.0,0.5578210949897766,0.7674828171730042,0.5400199294090271,0.7461507320404053,0.6379460692405701,0.6302773952484131,0.591726541519165,0.6282027363777161,0.6876277923583984
Adult_Content,0.6759704351425171,0.09550516307353973,0.5578210949897766,1.0000004768371582,0.6796084642410278,0.763738751411438,0.7132755517959595,0.7523012757301331,0.6719638109207153,0.5679394006729126,0.8170526027679443,0.6623989343643188
Fraud_Deception,0.897615909576416,0.04581078141927719,0.7674828171730042,0.6796084642410278,1.000000238418579,0.6464861035346985,0.8846856951713562,0.7519170045852661,0.8279881477355957,0.7942682504653931,0.7406675219535828,0.7701578736305237
Hate_Harass_Violence,0.6384243965148926,0.1584283858537674,0.5400199294090271,0.763738751411438,0.6464861035346985,1.0000009536743164,0.6752667427062988,0.7512637376785278,0.6127336025238037,0.5328233242034912,0.7224542498588562,0.7736467719078064
Illegal_Activity,0.8383017182350159,0.06312265992164612,0.7461507320404053,0.7132755517959595,0.8846856951713562,0.6752667427062988,1.0000004768371582,0.8159044981002808,0.8283751010894775,0.7952673435211182,0.7796316146850586,0.7592519521713257
Physical_Harm,0.7682067155838013,0.10195617377758026,0.6379460692405701,0.7523012757301331,0.7519170045852661,0.7512637376785278,0.8159044981002808,1.0000004768371582,0.7453051805496216,0.7135607600212097,0.7526113986968994,0.7368925213813782
Privacy_Violation_Activity,0.743661105632782,0.04951181262731552,0.6302773952484131,0.6719638109207153,0.8279881477355957,0.6127336025238037,0.8283751010894775,0.7453051805496216,1.0000007152557373,0.8634164333343506,0.7222546339035034,0.7216672897338867
Malware_Viruses,0.7515752911567688,0.07182168960571289,0.591726541519165,0.5679394006729126,0.7942682504653931,0.5328233242034912,0.7952673435211182,0.7135607600212097,0.8634164333343506,1.0000007152557373,0.6244218945503235,0.65133136510849
Child_Abuse,0.6976282596588135,0.05014698579907417,0.6282027363777161,0.8170526027679443,0.7406675219535828,0.7224542498588562,0.7796316146850586,0.7526113986968994,0.7222546339035034,0.6244218945503235,1.0,0.7146328687667847
Political_Campaigning,0.7463419437408447,0.07795251905918121,0.6876277923583984,0.6623989343643188,0.7701578736305237,0.7736467719078064,0.7592519521713257,0.7368925213813782,0.7216672897338867,0.65133136510849,0.7146328687667847,1.0
