,harmless,Physical_Harm,Adult_Content,Tailored_Financial_Advice,Malware_Viruses,Privacy_Violation_Activity,Illegal_Activity,Economic_Harm,Child_Abuse,Hate_Harass_Violence,Fraud_Deception,Political_Campaigning
harmless,1.0000017881393433,0.2024247795343399,0.1368241310119629,0.11023799329996109,0.15559399127960205,0.1305796504020691,0.12482933700084686,0.15387749671936035,0.11552083492279053,0.23614510893821716,0.1415259838104248,0.18438827991485596
Physical_Harm,0.2024247795343399,0.9999997615814209,0.9366568922996521,0.8698315024375916,0.8866335153579712,0.9290826320648193,0.9186211228370667,0.9328768253326416,0.9094980359077454,0.9528699517250061,0.9315109848976135,0.9511445164680481
Adult_Content,0.1368241310119629,0.9366568922996521,1.0000005960464478,0.8243803977966309,0.865900993347168,0.9012450575828552,0.9106955528259277,0.9178097248077393,0.9147202372550964,0.9107155203819275,0.919999361038208,0.9131001234054565
Tailored_Financial_Advice,0.11023799329996109,0.8698315024375916,0.8243803977966309,1.0000009536743164,0.784323513507843,0.8714389801025391,0.9091973304748535,0.8771636486053467,0.8948935270309448,0.7787197828292847,0.8907278776168823,0.889576256275177
Malware_Viruses,0.15559399127960205,0.8866335153579712,0.865900993347168,0.784323513507843,1.0000007152557373,0.9472225904464722,0.8908625841140747,0.9001737833023071,0.8303512930870056,0.8591153621673584,0.910953164100647,0.8892853260040283
Privacy_Violation_Activity,0.1305796504020691,0.9290826320648193,0.9012450575828552,0.8714389801025391,0.9472225904464722,0.9999999403953552,0.9439612627029419,0.9281551837921143,0.8913350105285645,0.8859541416168213,0.9426915645599365,0.9415225386619568
Illegal_Activity,0.12482933700084686,0.9186211228370667,0.9106955528259277,0.9091973304748535,0.8908625841140747,0.9439612627029419,1.0000009536743164,0.9372205138206482,0.9379909634590149,0.8683501482009888,0.9482813477516174,0.94199538230896
Economic_Harm,0.15387749671936035,0.9328768253326416,0.9178097248077393,0.8771636486053467,0.9001737833023071,0.9281551837921143,0.9372205138206482,0.9999997615814209,0.902678370475769,0.9217596054077148,0.9749631881713867,0.9534213542938232
Child_Abuse,0.11552083492279053,0.9094980359077454,0.9147202372550964,0.8948935270309448,0.8303512930870056,0.8913350105285645,0.9379909634590149,0.902678370475769,1.0,0.86714106798172,0.9189435839653015,0.9203336238861084
Hate_Harass_Violence,0.23614510893821716,0.9528699517250061,0.9107155203819275,0.7787197828292847,0.8591153621673584,0.8859541416168213,0.8683501482009888,0.9217596054077148,0.86714106798172,1.0000001192092896,0.9073857069015503,0.9406498670578003
Fraud_Deception,0.1415259838104248,0.9315109848976135,0.919999361038208,0.8907278776168823,0.910953164100647,0.9426915645599365,0.9482813477516174,0.9749631881713867,0.9189435839653015,0.9073857069015503,1.000000238418579,0.9578034281730652
Political_Campaigning,0.18438827991485596,0.9511445164680481,0.9131001234054565,0.889576256275177,0.8892853260040283,0.9415225386619568,0.94199538230896,0.9534213542938232,0.9203336238861084,0.9406498670578003,0.9578034281730652,1.0000004768371582
