,Tailored_Financial_Advice,Privacy_Violation_Activity,Economic_Harm,Child_Abuse,Illegal_Activity,Physical_Harm,Adult_Content,Political_Campaigning,Malware_Viruses,Fraud_Deception,harmless,Hate_Harass_Violence
Tailored_Financial_Advice,1.000001072883606,0.9071741700172424,0.9024339914321899,0.908394455909729,0.9306135773658752,0.8867301940917969,0.8828497529029846,0.8978110551834106,0.8548089265823364,0.9096231460571289,0.12068134546279907,0.8160466551780701
Privacy_Violation_Activity,0.9071741700172424,1.0000004768371582,0.9326815009117126,0.9066588878631592,0.938460648059845,0.9200726747512817,0.8980302810668945,0.9355716109275818,0.9495077133178711,0.9410886168479919,0.1288834512233734,0.8809584379196167
Economic_Harm,0.9024339914321899,0.9326815009117126,1.0000004768371582,0.9177965521812439,0.926279604434967,0.9124661684036255,0.9060399532318115,0.952678918838501,0.8926565051078796,0.9748634099960327,0.13138394057750702,0.9049175977706909
Child_Abuse,0.908394455909729,0.9066588878631592,0.9177965521812439,1.000001072883606,0.9394009709358215,0.9167302250862122,0.9401683211326599,0.9180413484573364,0.8492550849914551,0.9239053130149841,0.13812556862831116,0.8863559365272522
Illegal_Activity,0.9306135773658752,0.938460648059845,0.926279604434967,0.9394009709358215,1.0000003576278687,0.9072514772415161,0.9205135107040405,0.9160351753234863,0.8927261829376221,0.9358962774276733,0.1021898090839386,0.8457306027412415
Physical_Harm,0.8867301940917969,0.9200726747512817,0.9124661684036255,0.9167302250862122,0.9072514772415161,1.0000009536743164,0.938582718372345,0.9290357232093811,0.8627880811691284,0.9045947790145874,0.1814011186361313,0.9479504823684692
Adult_Content,0.8828497529029846,0.8980302810668945,0.9060399532318115,0.9401683211326599,0.9205135107040405,0.938582718372345,1.0000009536743164,0.9017888307571411,0.8336991667747498,0.9027975797653198,0.12317851185798645,0.8969219326972961
Political_Campaigning,0.8978110551834106,0.9355716109275818,0.952678918838501,0.9180413484573364,0.9160351753234863,0.9290357232093811,0.9017888307571411,1.0000001192092896,0.8836779594421387,0.9526557922363281,0.20172788202762604,0.935886800289154
Malware_Viruses,0.8548089265823364,0.9495077133178711,0.8926565051078796,0.8492550849914551,0.8927261829376221,0.8627880811691284,0.8336991667747498,0.8836779594421387,0.9999997615814209,0.9059454798698425,0.12404574453830719,0.8194903135299683
Fraud_Deception,0.9096231460571289,0.9410886168479919,0.9748634099960327,0.9239053130149841,0.9358962774276733,0.9045947790145874,0.9027975797653198,0.9526557922363281,0.9059454798698425,1.0000003576278687,0.13349778950214386,0.8873178362846375
harmless,0.12068134546279907,0.1288834512233734,0.13138394057750702,0.13812556862831116,0.1021898090839386,0.1814011186361313,0.12317851185798645,0.20172788202762604,0.12404574453830719,0.13349778950214386,1.000000238418579,0.20869791507720947
Hate_Harass_Violence,0.8160466551780701,0.8809584379196167,0.9049175977706909,0.8863559365272522,0.8457306027412415,0.9479504823684692,0.8969219326972961,0.935886800289154,0.8194903135299683,0.8873178362846375,0.20869791507720947,1.0000008344650269
