,Hate_Harass_Violence,Adult_Content,Child_Abuse,Tailored_Financial_Advice,Economic_Harm,Privacy_Violation_Activity,Illegal_Activity,Fraud_Deception,Political_Campaigning,Physical_Harm,Malware_Viruses,harmless
Hate_Harass_Violence,1.000000238418579,0.9089243412017822,0.9019293785095215,0.8494207262992859,0.8981819748878479,0.8665564060211182,0.8954222202301025,0.8977014422416687,0.9327244758605957,0.9402576684951782,0.8329840302467346,0.17210932075977325
Adult_Content,0.9089243412017822,1.0,0.9221234321594238,0.8444726467132568,0.8901883363723755,0.8645407557487488,0.913780927658081,0.8996143341064453,0.8827970027923584,0.9374539852142334,0.8152302503585815,0.1815563142299652
Child_Abuse,0.9019293785095215,0.9221234321594238,1.0,0.8643036484718323,0.8969871401786804,0.8591833114624023,0.9203203320503235,0.904500424861908,0.8889907598495483,0.9155250787734985,0.8178974390029907,0.19298018515110016
Tailored_Financial_Advice,0.8494207262992859,0.8444726467132568,0.8643036484718323,0.9999997615814209,0.9404383301734924,0.8976898193359375,0.9020600318908691,0.9180967807769775,0.9158278107643127,0.8928824067115784,0.8479182124137878,0.1250738948583603
Economic_Harm,0.8981819748878479,0.8901883363723755,0.8969871401786804,0.9404383301734924,1.0,0.9185415506362915,0.9476866722106934,0.9718135595321655,0.9549394845962524,0.9197266101837158,0.8841705322265625,0.1309402585029602
Privacy_Violation_Activity,0.8665564060211182,0.8645407557487488,0.8591833114624023,0.8976898193359375,0.9185415506362915,0.9999997019767761,0.9363570809364319,0.9213840365409851,0.9269903302192688,0.9111468195915222,0.9417130947113037,0.12338390201330185
Illegal_Activity,0.8954222202301025,0.913780927658081,0.9203203320503235,0.9020600318908691,0.9476866722106934,0.9363570809364319,0.9999998211860657,0.9469248652458191,0.9356569647789001,0.9327060580253601,0.894514262676239,0.1641257405281067
Fraud_Deception,0.8977014422416687,0.8996143341064453,0.904500424861908,0.9180967807769775,0.9718135595321655,0.9213840365409851,0.9469248652458191,1.0000004768371582,0.9454717636108398,0.9199230670928955,0.893246054649353,0.15613241493701935
Political_Campaigning,0.9327244758605957,0.8827970027923584,0.8889907598495483,0.9158278107643127,0.9549394845962524,0.9269903302192688,0.9356569647789001,0.9454717636108398,1.0,0.928925096988678,0.8927807807922363,0.15542852878570557
Physical_Harm,0.9402576684951782,0.9374539852142334,0.9155250787734985,0.8928824067115784,0.9197266101837158,0.9111468195915222,0.9327060580253601,0.9199230670928955,0.928925096988678,1.0,0.8695631623268127,0.17238986492156982
Malware_Viruses,0.8329840302467346,0.8152302503585815,0.8178974390029907,0.8479182124137878,0.8841705322265625,0.9417130947113037,0.894514262676239,0.893246054649353,0.8927807807922363,0.8695631623268127,0.9999997019767761,0.11179005354642868
harmless,0.17210932075977325,0.1815563142299652,0.19298018515110016,0.1250738948583603,0.1309402585029602,0.12338390201330185,0.1641257405281067,0.15613241493701935,0.15542852878570557,0.17238986492156982,0.11179005354642868,0.9999998807907104
