,Tailored_Financial_Advice,Privacy_Violation_Activity,Economic_Harm,Child_Abuse,Illegal_Activity,Physical_Harm,Adult_Content,Political_Campaigning,Malware_Viruses,Fraud_Deception,harmless,Hate_Harass_Violence
Tailored_Financial_Advice,1.0000001192092896,0.6701240539550781,0.8605034351348877,0.6585022807121277,0.7688958048820496,0.7231348156929016,0.5623348951339722,0.7602189183235168,0.6179516315460205,0.7793421149253845,0.12139230966567993,0.5854107141494751
Privacy_Violation_Activity,0.6701240539550781,1.0000003576278687,0.7442543506622314,0.6306800246238708,0.8102282285690308,0.6984227299690247,0.6186658143997192,0.7630182504653931,0.8001742959022522,0.7667639851570129,0.16002346575260162,0.6098626255989075
Economic_Harm,0.8605034351348877,0.7442543506622314,0.9999997615814209,0.6792142987251282,0.8517317175865173,0.7373834252357483,0.6649649739265442,0.7992804646492004,0.7125082612037659,0.9107029438018799,0.12306471168994904,0.6563597321510315
Child_Abuse,0.6585022807121277,0.6306800246238708,0.6792142987251282,0.9999997615814209,0.720292329788208,0.749082088470459,0.7707774043083191,0.6684118509292603,0.5527138113975525,0.6522078514099121,0.06932099908590317,0.6552833318710327
Illegal_Activity,0.7688958048820496,0.8102282285690308,0.8517317175865173,0.720292329788208,0.9999997615814209,0.7823224067687988,0.6592326164245605,0.7705005407333374,0.778281569480896,0.865128219127655,0.15742036700248718,0.6287657022476196
Physical_Harm,0.7231348156929016,0.6984227299690247,0.7373834252357483,0.749082088470459,0.7823224067687988,1.000000238418579,0.7252055406570435,0.7501177787780762,0.6301975250244141,0.7073023915290833,0.13748647272586823,0.7199744582176208
Adult_Content,0.5623348951339722,0.6186658143997192,0.6649649739265442,0.7707774043083191,0.6592326164245605,0.7252055406570435,1.0000001192092896,0.6283717751502991,0.5153399705886841,0.6237552165985107,0.06409884989261627,0.6644704341888428
Political_Campaigning,0.7602189183235168,0.7630182504653931,0.7992804646492004,0.6684118509292603,0.7705005407333374,0.7501177787780762,0.6283717751502991,1.0,0.6924914717674255,0.7814258933067322,0.10086913406848907,0.7721349000930786
Malware_Viruses,0.6179516315460205,0.8001742959022522,0.7125082612037659,0.5527138113975525,0.778281569480896,0.6301975250244141,0.5153399705886841,0.6924914717674255,1.0000001192092896,0.7692652344703674,0.1620347797870636,0.5828173756599426
Fraud_Deception,0.7793421149253845,0.7667639851570129,0.9107029438018799,0.6522078514099121,0.865128219127655,0.7073023915290833,0.6237552165985107,0.7814258933067322,0.7692652344703674,0.9999999403953552,0.12241687625646591,0.6413928270339966
harmless,0.12139230966567993,0.16002346575260162,0.12306471168994904,0.06932099908590317,0.15742036700248718,0.13748647272586823,0.06409884989261627,0.10086913406848907,0.1620347797870636,0.12241687625646591,0.9999998807907104,0.15726888179779053
Hate_Harass_Violence,0.5854107141494751,0.6098626255989075,0.6563597321510315,0.6552833318710327,0.6287657022476196,0.7199744582176208,0.6644704341888428,0.7721349000930786,0.5828173756599426,0.6413928270339966,0.15726888179779053,0.9999998211860657
