,Child_Abuse,Political_Campaigning,Privacy_Violation_Activity,Illegal_Activity,Economic_Harm,Adult_Content,Physical_Harm,Fraud_Deception,Tailored_Financial_Advice,harmless,Hate_Harass_Violence,Malware_Viruses
Child_Abuse,1.0000007152557373,0.6194765567779541,0.6421910524368286,0.7342802286148071,0.6488199830055237,0.7702599763870239,0.6758628487586975,0.669619619846344,0.5803809762001038,0.04122599959373474,0.6249619722366333,0.5788110494613647
Political_Campaigning,0.6194765567779541,1.0000011920928955,0.6745569705963135,0.701911211013794,0.7087443470954895,0.5977503061294556,0.6728104948997498,0.7206840515136719,0.6546483039855957,0.011980153620243073,0.7181766033172607,0.6335917711257935
Privacy_Violation_Activity,0.6421910524368286,0.6745569705963135,1.000000238418579,0.7701722383499146,0.6884092092514038,0.6371235251426697,0.6624836921691895,0.7668473124504089,0.5821276903152466,-0.008940018713474274,0.5548343658447266,0.806381344795227
Illegal_Activity,0.7342802286148071,0.701911211013794,0.7701722383499146,1.0000004768371582,0.8221759796142578,0.6963843107223511,0.7888115644454956,0.8562689423561096,0.717097282409668,0.07539452612400055,0.6355270743370056,0.7735234498977661
Economic_Harm,0.6488199830055237,0.7087443470954895,0.6884092092514038,0.8221759796142578,1.0000001192092896,0.6529393196105957,0.7071225643157959,0.8885146975517273,0.803021252155304,0.0591244213283062,0.6217954158782959,0.7205237746238708
Adult_Content,0.7702599763870239,0.5977503061294556,0.6371235251426697,0.6963843107223511,0.6529393196105957,1.000000238418579,0.6997872591018677,0.6393221020698547,0.5284417867660522,0.12746503949165344,0.6952579617500305,0.5476303696632385
Physical_Harm,0.6758628487586975,0.6728104948997498,0.6624836921691895,0.7888115644454956,0.7071225643157959,0.6997872591018677,0.9999998807907104,0.6873928308486938,0.6111199259757996,0.030509965494275093,0.6866151690483093,0.6621092557907104
Fraud_Deception,0.669619619846344,0.7206840515136719,0.7668473124504089,0.8562689423561096,0.8885146975517273,0.6393221020698547,0.6873928308486938,1.0000007152557373,0.7342749834060669,0.04169883206486702,0.6095268726348877,0.7721885442733765
Tailored_Financial_Advice,0.5803809762001038,0.6546483039855957,0.5821276903152466,0.717097282409668,0.803021252155304,0.5284417867660522,0.6111199259757996,0.7342749834060669,1.000001311302185,0.05816737934947014,0.5274624824523926,0.5812058448791504
harmless,0.04122599959373474,0.011980153620243073,-0.008940018713474274,0.07539452612400055,0.0591244213283062,0.12746503949165344,0.030509965494275093,0.04169883206486702,0.05816737934947014,1.0000020265579224,0.1803179681301117,0.07120164483785629
Hate_Harass_Violence,0.6249619722366333,0.7181766033172607,0.5548343658447266,0.6355270743370056,0.6217954158782959,0.6952579617500305,0.6866151690483093,0.6095268726348877,0.5274624824523926,0.1803179681301117,1.0000011920928955,0.5414077043533325
Malware_Viruses,0.5788110494613647,0.6335917711257935,0.806381344795227,0.7735234498977661,0.7205237746238708,0.5476303696632385,0.6621092557907104,0.7721885442733765,0.5812058448791504,0.07120164483785629,0.5414077043533325,1.000001311302185
