,Child_Abuse,Privacy_Violation_Activity,Malware_Viruses,Political_Campaigning,Economic_Harm,Illegal_Activity,Adult_Content,Hate_Harass_Violence,harmless,Physical_Harm,Tailored_Financial_Advice,Fraud_Deception
Child_Abuse,1.0000009536743164,0.6580291986465454,0.6033834218978882,0.700898289680481,0.7322196960449219,0.8046303391456604,0.7986565828323364,0.6971518993377686,0.08262176811695099,0.7832928895950317,0.6981890797615051,0.7147598266601562
Privacy_Violation_Activity,0.6580291986465454,1.0000005960464478,0.7972545623779297,0.7679849863052368,0.7288172245025635,0.7830288410186768,0.6696218252182007,0.636100172996521,0.024281363934278488,0.7213765382766724,0.6785098314285278,0.7706158757209778
Malware_Viruses,0.6033834218978882,0.7972545623779297,1.0000007152557373,0.7086926698684692,0.7056103944778442,0.7273162603378296,0.5825525522232056,0.617200493812561,0.12242263555526733,0.6522136926651001,0.632948100566864,0.7733272910118103
Political_Campaigning,0.700898289680481,0.7679849863052368,0.7086926698684692,0.9999998807907104,0.7970564961433411,0.7676136493682861,0.682809054851532,0.7924633026123047,0.04463022202253342,0.7618088722229004,0.7678546905517578,0.7894033789634705
Economic_Harm,0.7322196960449219,0.7288172245025635,0.7056103944778442,0.7970564961433411,0.9999998807907104,0.8429813385009766,0.7059065103530884,0.6809595823287964,0.06943900138139725,0.7482728958129883,0.8613894581794739,0.9229247570037842
Illegal_Activity,0.8046303391456604,0.7830288410186768,0.7273162603378296,0.7676136493682861,0.8429813385009766,1.0000007152557373,0.7620716094970703,0.6809884309768677,0.05670560151338577,0.8387551307678223,0.7742246985435486,0.8433704376220703
Adult_Content,0.7986565828323364,0.6696218252182007,0.5825525522232056,0.682809054851532,0.7059065103530884,0.7620716094970703,0.9999999403953552,0.73879075050354,0.011718185618519783,0.8023113012313843,0.6395053267478943,0.6880604028701782
Hate_Harass_Violence,0.6971518993377686,0.636100172996521,0.617200493812561,0.7924633026123047,0.6809595823287964,0.6809884309768677,0.73879075050354,0.9999998807907104,0.09900406002998352,0.7753444910049438,0.6356332302093506,0.6762118339538574
harmless,0.08262176811695099,0.024281363934278488,0.12242263555526733,0.04463022202253342,0.06943900138139725,0.05670560151338577,0.011718185618519783,0.09900406002998352,1.0000009536743164,0.05153351649641991,0.07427741587162018,0.07019107043743134
Physical_Harm,0.7832928895950317,0.7213765382766724,0.6522136926651001,0.7618088722229004,0.7482728958129883,0.8387551307678223,0.8023113012313843,0.7753444910049438,0.05153351649641991,1.0000005960464478,0.7469190359115601,0.7342610359191895
Tailored_Financial_Advice,0.6981890797615051,0.6785098314285278,0.632948100566864,0.7678546905517578,0.8613894581794739,0.7742246985435486,0.6395053267478943,0.6356332302093506,0.07427741587162018,0.7469190359115601,0.9999999403953552,0.7931854128837585
Fraud_Deception,0.7147598266601562,0.7706158757209778,0.7733272910118103,0.7894033789634705,0.9229247570037842,0.8433704376220703,0.6880604028701782,0.6762118339538574,0.07019107043743134,0.7342610359191895,0.7931854128837585,1.0000005960464478
